,MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,HeatingQC,CentralAir,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageCond,PavedDrive,PoolArea,MoSold,YrSold,SaleCondition,TotalSF,TotalBath,TotalPorchSF
408,60,RL,14154,Pave,Reg,Lvl,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,Gd,TA,PConc,Ex,Gd,No,Unf,Unf,Ex,Y,3,1,Gd,9,Typ,1,Gd,Attchd,RFn,3,947,TA,Y,0,8,2007,Partial,3235,2.5,254
409,60,FV,10800,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,100.0,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,Ex,Y,3,1,Ex,8,Typ,1,Gd,Attchd,Fin,3,836,TA,Y,0,4,2008,Partial,3112,3.5,102
410,20,RL,9571,Pave,Reg,Lvl,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,3,1958,1958,Gable,CompShg,BrkComm,Brk Cmn,None,0.0,TA,Fa,CBlock,TA,Fa,No,Unf,Unf,TA,Y,3,1,TA,5,Mod,0,,Attchd,Unf,1,350,TA,Y,0,6,2009,Abnorml,2552,1.0,0
411,190,RL,34650,Pave,Reg,Bnk,Inside,Gtl,Gilbert,Norm,Norm,2fmCon,1Story,5,5,1955,1955,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,Rec,Unf,TA,N,3,1,TA,5,Typ,0,,Attchd,Fin,2,572,TA,Y,0,1,2006,Normal,2112,2.0,264
412,20,FV,4403,Pave,IR2,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,2009,2009,Gable,CompShg,MetalSd,MetalSd,Stone,432.0,Ex,TA,PConc,Ex,TA,Av,GLQ,Unf,Ex,Y,2,1,Gd,7,Typ,1,Gd,Attchd,Fin,2,484,TA,Y,0,6,2010,Partial,2948,3.5,144
413,30,RM,8960,Pave,Reg,Lvl,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,6,1927,1950,Gable,CompShg,WdShing,Wd Shng,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,Unf,Gd,Y,2,1,TA,5,Typ,1,Gd,Detchd,Unf,2,360,TA,Y,0,3,2010,Normal,2036,1.0,130
414,60,RL,11228,Pave,IR2,Lvl,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,1993,1993,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,BLQ,GLQ,Ex,Y,3,1,Gd,9,Typ,1,TA,Attchd,Unf,3,678,TA,Y,0,12,2008,Normal,3177,3.0,383
415,20,RL,8899,Pave,IR1,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,Ex,Y,3,1,Gd,6,Typ,0,,Attchd,Fin,2,396,TA,Y,0,8,2007,Partial,2680,2.0,130
416,60,RL,7844,Pave,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,2Story,6,7,1978,1978,Hip,CompShg,HdBoard,HdBoard,BrkFace,203.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,TA,Y,3,1,TA,6,Typ,1,TA,Attchd,Fin,2,440,TA,Y,0,3,2006,Normal,2072,1.5,0
417,70,RL,22420,Pave,IR1,Lvl,Inside,Gtl,Crawfor,Feedr,Norm,1Fam,2Story,6,6,1918,1950,Hip,CompShg,Wd Sdng,Stucco,None,0.0,TA,TA,BrkTil,Gd,TA,No,BLQ,Unf,TA,N,4,1,TA,10,Typ,1,Gd,Detchd,Unf,3,864,TA,N,0,11,2007,Normal,3994,3.5,0
418,50,RL,8160,Pave,Reg,Lvl,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,6,1940,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,ALQ,Unf,Fa,N,3,1,TA,7,Typ,0,,Detchd,Unf,1,240,TA,P,0,4,2007,AdjLand,1890,2.5,0
419,20,RL,8450,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,Unf,Ex,Y,3,1,TA,6,Typ,1,Fa,Attchd,Unf,1,304,TA,Y,0,7,2010,Normal,2112,2.0,269
420,90,RM,7060,Pave,Reg,Lvl,Inside,Gtl,Mitchel,Norm,Norm,Duplex,SFoyer,7,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,200.0,TA,Gd,PConc,Gd,Gd,Gd,GLQ,Unf,Ex,Y,2,2,TA,8,Typ,0,,Attchd,Fin,4,784,TA,Y,0,11,2008,Alloca,2688,4.0,0
421,20,RL,16635,Pave,IR1,Lvl,FR2,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,7,1977,2000,Gable,CompShg,CemntBd,CmentBd,Stone,126.0,Gd,TA,CBlock,Gd,TA,No,ALQ,Unf,Gd,Y,3,1,Gd,8,Typ,1,TA,Attchd,Fin,2,529,TA,Y,0,6,2009,Normal,3204,2.5,240
422,20,RL,21750,Pave,Reg,HLS,Inside,Mod,Mitchel,Artery,Norm,1Fam,1Story,5,5,1954,1954,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,Unf,Ex,Y,2,1,TA,4,Typ,0,,Attchd,RFn,2,520,TA,N,0,2,2008,Normal,1976,1.0,0
423,60,RL,9200,Pave,Reg,Lvl,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,473.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,Gd,Y,4,1,Gd,8,Typ,1,TA,Attchd,Fin,3,696,TA,Y,0,6,2008,Normal,4100,3.5,66
424,20,RL,9000,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1956,1956,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,74.0,TA,TA,CBlock,Gd,TA,No,LwQ,Unf,Gd,Y,2,1,TA,6,Typ,1,Gd,Attchd,RFn,1,297,TA,Y,0,5,2008,Normal,2392,2.0,44
425,60,RM,3378,Pave,Reg,HLS,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,7,8,1946,1992,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,Gd,CBlock,TA,TA,No,Unf,Unf,Gd,Y,3,1,TA,6,Typ,2,Gd,Detchd,Unf,1,240,TA,P,0,9,2009,Normal,2040,1.5,126
426,80,RL,12800,Pave,Reg,Low,Inside,Mod,SawyerW,Norm,Norm,1Fam,SLvl,7,5,1989,1989,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,145.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,Unf,Gd,Y,2,1,Gd,5,Typ,1,TA,Attchd,Fin,2,569,TA,Y,0,8,2009,Normal,3162,3.5,476
427,20,RL,8593,Pave,IR1,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,6,1957,1957,Hip,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,Unf,Ex,Y,3,1,TA,5,Typ,0,,Detchd,Unf,1,352,TA,Y,0,7,2008,Normal,1814,1.0,0
428,20,RL,6762,Pave,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,108.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,Ex,Y,2,1,Gd,6,Typ,0,,Attchd,RFn,2,628,TA,Y,0,9,2007,Partial,2416,3.0,159
429,20,RL,11457,Pave,IR1,Lvl,Corner,Gtl,Timber,Norm,Norm,1Fam,1Story,6,5,1988,1988,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,Gd,TA,Mn,GLQ,Unf,TA,Y,3,1,Gd,6,Typ,1,TA,Attchd,Unf,2,576,TA,Y,0,3,2009,Normal,2804,3.0,169
430,160,RM,1680,Pave,Reg,Lvl,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,TA,Y,2,1,TA,4,Typ,0,,Detchd,Unf,1,264,TA,Y,0,7,2008,Abnorml,1470,1.5,0
431,50,RM,5586,Pave,IR1,Bnk,Inside,Gtl,OldTown,Feedr,Norm,1Fam,1.5Fin,6,7,1920,1998,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,Gd,Y,4,1,TA,7,Typ,0,,,,0,0,,N,0,9,2008,Abnorml,2099,1.0,98
432,160,RM,1920,Pave,Reg,Lvl,Inside,Gtl,BrDale,Norm,Norm,TwnhsE,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,376.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,Ex,Y,2,1,TA,6,Min1,0,,Detchd,Unf,2,440,TA,Y,0,8,2007,Normal,2130,2.5,276
433,60,RL,10839,Pave,IR1,Lvl,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,Unf,Ex,Y,3,1,TA,7,Typ,1,TA,Attchd,Fin,2,470,TA,Y,0,7,2008,Normal,2530,2.5,36
434,180,RM,1890,Pave,Reg,Lvl,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,SFoyer,4,7,1972,1972,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,Gd,CBlock,Gd,TA,Av,ALQ,Unf,Gd,Y,1,1,TA,3,Typ,0,,,,0,0,,Y,0,6,2008,Normal,1260,2.0,88
435,60,RL,10667,Pave,IR2,Lvl,CulDSac,Gtl,CollgCr,PosN,Norm,1Fam,2Story,7,6,1996,1996,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,ALQ,Ex,Y,3,1,Gd,6,Typ,1,TA,Attchd,RFn,2,550,TA,Y,0,4,2009,Normal,2460,3.5,219
436,50,RM,4400,Pave,Reg,Lvl,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,6,8,1920,1950,Gable,CompShg,Stucco,Stucco,None,0.0,TA,TA,BrkTil,Fa,TA,No,Unf,Unf,TA,Y,2,1,TA,6,Typ,0,,Detchd,Unf,2,440,TA,Y,0,10,2006,Normal,1766,1.0,0
437,45,RM,6000,Pave,Reg,Lvl,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,6,7,1926,2004,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,Gd,TA,PConc,TA,TA,No,Unf,Unf,Gd,Y,2,1,TA,4,Typ,0,,Detchd,Unf,1,180,TA,Y,0,1,2009,Normal,1788,1.0,105
438,30,RL,4280,Pave,Reg,Lvl,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1Story,5,6,1913,2002,Gable,CompShg,WdShing,Stucco,None,0.0,TA,TA,PConc,TA,TA,No,LwQ,Unf,TA,N,2,1,Gd,4,Typ,1,Gd,Detchd,Unf,1,352,TA,P,0,3,2007,Normal,1134,1.0,34
439,50,RL,12354,Pave,Reg,Lvl,Corner,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,6,8,1920,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,Fa,Mn,Unf,Unf,Gd,Y,3,1,Gd,7,Typ,0,,Detchd,Unf,2,528,TA,Y,0,8,2009,Normal,1880,1.0,46
440,20,RL,15431,Pave,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,10,5,2008,2008,Hip,CompShg,VinylSd,VinylSd,Stone,200.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,ALQ,Ex,Y,2,1,Ex,10,Typ,2,Gd,Attchd,Fin,3,672,TA,Y,0,4,2009,Normal,5496,3.0,242
441,90,RL,12108,Pave,Reg,Lvl,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,4,1955,1955,Gable,CompShg,VinylSd,VinylSd,BrkFace,270.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,TA,N,4,2,Fa,8,Typ,0,,,,0,0,,Y,0,9,2008,Normal,2880,2.0,0
442,50,RM,6240,Pave,Reg,Lvl,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,5,7,1930,1992,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,PConc,TA,TA,No,Unf,Unf,TA,Y,3,1,TA,8,Typ,1,Gd,Detchd,Unf,2,360,TA,P,0,6,2008,Normal,2651,2.0,0
443,120,RL,3922,Pave,Reg,Lvl,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2006,2007,Gable,CompShg,WdShing,Wd Shng,BrkFace,72.0,Gd,TA,PConc,Ex,TA,Av,Unf,Unf,Ex,Y,2,1,Gd,6,Typ,1,Gd,Attchd,Fin,3,648,TA,Y,0,6,2007,Partial,2516,2.0,160
444,60,RL,8750,Pave,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,Gd,PConc,Gd,TA,No,GLQ,Unf,Ex,Y,4,1,Gd,8,Typ,1,TA,Attchd,Unf,2,493,TA,Y,0,7,2008,Normal,2823,3.5,277
445,20,RL,9855,Pave,Reg,Lvl,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,6,5,1956,1956,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,Unf,Fa,Y,3,1,TA,7,Typ,1,Gd,Attchd,Unf,2,480,TA,Y,0,11,2009,Normal,3125,1.0,0
446,20,RL,16492,Pave,IR1,Lvl,Corner,Gtl,NAmes,PosA,Norm,1Fam,1Story,6,6,1966,2002,Gable,CompShg,BrkFace,Plywood,None,0.0,Gd,TA,CBlock,TA,TA,No,ALQ,Rec,Ex,Y,2,1,Gd,6,Mod,1,Gd,Attchd,Fin,2,578,TA,Y,0,6,2010,Normal,3405,2.5,0
447,60,RL,11214,Pave,IR1,Lvl,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,1998,1999,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,Gd,Y,4,1,Gd,10,Typ,1,TA,Attchd,Fin,2,431,TA,Y,0,7,2006,Normal,2816,2.5,89
448,50,RM,8600,Pave,Reg,Bnk,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,6,6,1937,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,TA,Y,3,1,TA,7,Typ,1,Gd,Detchd,Unf,1,198,TA,N,0,6,2006,Normal,2156,2.0,0
449,50,RM,6000,Pave,Reg,Lvl,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,3,7,1948,2002,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,Gd,CBlock,TA,TA,No,ALQ,Unf,Ex,Y,2,1,TA,6,Typ,0,,Detchd,Unf,1,308,TA,Y,0,6,2007,Normal,1832,1.5,176
450,30,RM,5684,Pave,Reg,Lvl,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,6,8,1930,2005,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,Ex,Y,2,1,Gd,5,Typ,0,,Detchd,Unf,1,270,Fa,N,0,6,2006,Normal,1626,1.0,113
451,20,RL,70761,Pave,IR1,Low,Inside,Mod,ClearCr,Norm,Norm,1Fam,1Story,7,5,1975,1975,Gable,WdShngl,Plywood,Plywood,None,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,Unf,TA,Y,2,1,Gd,5,Typ,2,TA,Attchd,Unf,2,576,TA,Y,0,12,2006,Normal,3066,3.0,254
452,60,RL,9303,Pave,IR1,Lvl,Corner,Gtl,Timber,Norm,Norm,1Fam,2Story,6,5,1996,1997,Hip,CompShg,VinylSd,VinylSd,BrkFace,42.0,Gd,TA,PConc,Ex,TA,No,ALQ,Unf,Ex,Y,3,1,TA,7,Typ,0,,Attchd,Fin,2,422,TA,Y,0,7,2007,Normal,2628,3.5,266
453,60,FV,9000,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,5,2008,2008,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,Ex,Y,3,1,Gd,6,Typ,0,,Attchd,RFn,2,676,TA,Y,0,6,2009,Normal,2358,2.5,30
454,90,RL,9297,Pave,Reg,Lvl,Inside,Gtl,Mitchel,Norm,Norm,Duplex,1Story,5,5,1976,1976,Gable,CompShg,Plywood,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,TA,Y,4,2,TA,8,Typ,0,,Detchd,Unf,2,560,TA,Y,0,7,2006,Family,3456,4.0,0
455,20,RL,9600,Pave,Reg,Lvl,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,6,1973,1973,Hip,CompShg,HdBoard,HdBoard,BrkFace,320.0,TA,TA,CBlock,TA,TA,No,ALQ,Unf,Fa,Y,3,1,TA,6,Typ,1,TA,Attchd,Unf,2,528,TA,Y,0,9,2007,Normal,2484,1.5,0
456,70,RM,4571,Pave,Reg,Lvl,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,5,1916,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,Unf,Fa,N,4,1,TA,7,Typ,0,,Detchd,Unf,3,513,Fa,Y,0,5,2008,Abnorml,1968,1.0,96
457,20,RL,53227,Pave,IR1,Low,CulDSac,Mod,ClearCr,Norm,Norm,1Fam,1Story,4,6,1954,1994,Flat,Tar&Grv,Plywood,Plywood,None,0.0,TA,TA,CBlock,Gd,TA,Gd,BLQ,Unf,Ex,Y,2,1,Gd,6,Min1,2,Gd,Attchd,Fin,2,529,TA,Y,0,3,2008,Normal,3027,2.0,361
458,70,RM,5100,Pave,Reg,Lvl,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,8,7,1925,1996,Hip,CompShg,Stucco,Wd Shng,None,0.0,TA,Gd,PConc,TA,TA,No,Unf,Unf,Fa,Y,3,1,Gd,7,Typ,1,Gd,Detchd,Unf,1,228,TA,Y,0,6,2008,Normal,2254,1.0,255
459,50,RL,7015,Pave,IR1,Bnk,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,5,4,1950,1950,Gable,CompShg,MetalSd,MetalSd,BrkCmn,161.0,TA,TA,CBlock,TA,TA,No,LwQ,Unf,TA,Y,3,1,Gd,5,Typ,1,TA,Detchd,Unf,1,352,TA,Y,0,7,2009,Normal,1912,2.0,248
460,60,FV,8004,Pave,IR1,Lvl,Inside,Gtl,Somerst,RRAn,Norm,1Fam,2Story,8,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,Stone,110.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,Ex,Y,3,1,TA,8,Typ,0,,BuiltIn,Fin,2,552,TA,Y,0,12,2009,Partial,2767,3.5,150
461,70,RL,7200,Pave,Reg,Lvl,Inside,Gtl,SWISU,Feedr,Norm,1Fam,2Story,7,9,1936,2007,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,Gd,Gd,PConc,Gd,Gd,No,ALQ,BLQ,Ex,Y,3,1,Gd,6,Typ,0,,Detchd,RFn,2,576,TA,Y,0,4,2009,Normal,1695,2.0,256
462,20,RL,8281,Pave,IR1,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,BLQ,Gd,Y,3,1,TA,5,Typ,1,Po,Detchd,Unf,1,360,TA,Y,0,12,2009,Normal,1728,1.0,236
463,70,RL,11988,Pave,IR1,HLS,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,6,7,1934,1995,Hip,CompShg,Stucco,Stucco,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,Unf,Fa,Y,3,1,TA,6,Typ,1,Gd,Detchd,Unf,1,240,TA,Y,0,8,2008,Normal,2375,1.5,0
464,20,RL,8430,Pave,Reg,HLS,Inside,Mod,CollgCr,Norm,Norm,1Fam,1Story,5,5,1978,1978,Gable,CompShg,HdBoard,HdBoard,BrkFace,136.0,TA,TA,CBlock,Gd,TA,No,Rec,Unf,TA,Y,3,1,TA,5,Typ,0,,,,0,0,,Y,0,8,2009,Normal,2080,2.0,0
465,120,RM,3072,Pave,Reg,Lvl,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2004,2004,Hip,CompShg,VinylSd,VinylSd,BrkFace,18.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,Ex,Y,2,1,Gd,6,Typ,1,TA,Attchd,Fin,2,398,TA,Y,0,5,2006,Normal,2789,2.0,164
466,20,RL,10628,Pave,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,5,1970,1970,Flat,Tar&Grv,Plywood,Plywood,None,0.0,TA,Gd,CBlock,TA,Gd,Gd,GLQ,Unf,TA,Y,2,1,TA,5,Typ,1,Po,Attchd,Unf,2,526,TA,Y,0,4,2007,Normal,2554,2.0,176
467,70,RL,9480,Pave,Reg,Lvl,Inside,Gtl,NAmes,Artery,Norm,1Fam,2Story,5,7,1942,1995,Gable,CompShg,MetalSd,MetalSd,Stone,224.0,TA,TA,CBlock,TA,TA,No,LwQ,Unf,Ex,Y,3,1,Gd,7,Typ,2,Gd,Attchd,Unf,1,312,TA,Y,0,6,2007,Normal,2372,1.5,168
468,20,RL,11428,Pave,IR1,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,248.0,Gd,TA,PConc,Gd,TA,No,Unf,Unf,Ex,Y,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,3,866,TA,Y,0,5,2007,Normal,3260,2.0,44
469,60,RL,9291,Pave,IR1,Lvl,Corner,Gtl,SawyerW,RRNe,Norm,1Fam,2Story,6,5,1993,1993,Gable,CompShg,HdBoard,HdBoard,BrkFace,120.0,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,Ex,Y,3,1,Gd,7,Typ,0,,Attchd,RFn,2,506,TA,Y,0,6,2008,Normal,2542,2.5,214
470,120,RL,6820,Pave,IR1,Lvl,Corner,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1985,1985,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,BLQ,TA,Y,1,1,Gd,4,Typ,0,,Attchd,RFn,2,528,TA,Y,0,6,2010,Normal,2990,2.5,194
471,60,RL,11952,Pave,Reg,Lvl,Inside,Gtl,NWAmes,PosA,Norm,1Fam,2Story,7,6,1977,1977,Mansard,WdShake,WdShing,Plywood,None,0.0,TA,TA,CBlock,Gd,TA,No,Unf,Unf,TA,Y,3,1,TA,8,Typ,1,Gd,Attchd,RFn,2,534,TA,Y,0,11,2007,Normal,2777,2.5,276
472,180,RM,3675,Pave,Reg,Lvl,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SLvl,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,80.0,TA,TA,PConc,Gd,TA,Gd,GLQ,Unf,Ex,Y,2,1,TA,5,Typ,0,,Basment,RFn,2,525,TA,Y,0,6,2008,Normal,1619,2.0,28
473,20,RL,14977,Pave,IR1,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,304.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,Unf,Ex,Y,2,1,Gd,7,Typ,1,Ex,Attchd,RFn,3,908,TA,Y,0,7,2007,Partial,3952,3.0,313
474,120,RL,5330,Pave,Reg,Lvl,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2000,2000,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,Ex,Y,2,1,Ex,6,Typ,0,,Attchd,RFn,2,499,TA,Y,0,8,2007,Normal,3146,3.0,144
475,20,RL,8480,Pave,Reg,Lvl,Corner,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1963,1963,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,GLQ,Unf,TA,Y,2,1,TA,5,Typ,0,,Detchd,Unf,2,624,TA,Y,0,7,2007,Normal,1940,2.0,216
476,20,RL,13125,Pave,Reg,Lvl,Inside,Mod,CollgCr,Norm,Norm,1Fam,1Story,6,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,215.0,TA,TA,PConc,Gd,TA,Gd,GLQ,Unf,Ex,Y,3,1,Gd,7,Typ,1,TA,Attchd,Fin,2,508,TA,Y,0,4,2008,Normal,2971,3.0,179
477,60,RL,13693,Pave,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2006,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,772.0,Ex,TA,PConc,Gd,TA,Av,Unf,Unf,Ex,Y,3,1,Ex,9,Typ,1,Gd,BuiltIn,Fin,3,694,TA,Y,0,3,2007,Normal,4796,2.5,498
478,20,RL,10637,Pave,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2008,Hip,CompShg,VinylSd,VinylSd,Stone,336.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,Unf,Ex,Y,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,3,826,TA,Y,0,9,2009,Normal,3423,3.0,252
479,30,RM,5925,Pave,Reg,Bnk,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,4,7,1937,2000,Hip,CompShg,Stucco,Stucco,BrkCmn,435.0,TA,TA,BrkTil,Fa,TA,No,Rec,Unf,TA,Y,2,1,TA,7,Typ,0,,Detchd,Unf,2,672,TA,Y,0,3,2007,Alloca,2038,1.0,72
480,20,RL,16033,Pave,IR1,Lvl,FR2,Gtl,NridgHt,Norm,Norm,1Fam,1Story,9,5,2004,2005,Hip,CompShg,VinylSd,VinylSd,BrkFace,378.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,Unf,Ex,Y,3,1,Gd,8,Typ,1,Gd,Attchd,Fin,3,772,TA,Y,0,3,2006,Normal,3683,3.0,631
